jahr,szenario,korridor,beitragssatz_obergrenze,referenzausgaben_mrd_euro,beitragsbasis_status_quo_mrd_euro,zusatzbasis_erwerbstaetige_mrd_euro,beitragsbasis_reform_mrd_euro,beitragseinnahmen_mrd_euro,bestandsschutz_zuschuss_mrd_euro,sonstige_einnahmen_mrd_euro,leistbares_ausgabenvolumen_mrd_euro,finanzierungsluecke_vs_referenz_mrd_euro,leistungsfaktor_vs_referenz,notiz
2059,jung,ziel_20_prozent,0.200000,1085.994,3605.233,315.404,3920.637,784.127,6.524,7.395,798.046,287.948,0.734853,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2059,jung,stabil_22_prozent,0.220000,1085.994,3605.233,315.404,3920.637,862.540,6.524,7.395,876.459,209.535,0.807057,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2059,jung,obergrenze_24_prozent,0.240000,1085.994,3605.233,315.404,3920.637,940.953,6.524,7.395,954.872,131.122,0.879260,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2060,jung,ziel_20_prozent,0.200000,1110.286,3689.418,326.409,4015.827,803.165,5.670,7.580,816.415,293.871,0.735320,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2060,jung,stabil_22_prozent,0.220000,1110.286,3689.418,326.409,4015.827,883.482,5.670,7.580,896.732,213.554,0.807658,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2060,jung,obergrenze_24_prozent,0.240000,1110.286,3689.418,326.409,4015.827,963.798,5.670,7.580,977.048,133.238,0.879997,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2061,jung,ziel_20_prozent,0.200000,1135.120,3775.559,337.755,4113.314,822.663,4.954,7.770,835.386,299.734,0.735945,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2061,jung,stabil_22_prozent,0.220000,1135.120,3775.559,337.755,4113.314,904.929,4.954,7.770,917.653,217.468,0.808419,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2061,jung,obergrenze_24_prozent,0.240000,1135.120,3775.559,337.755,4113.314,987.195,4.954,7.770,999.919,135.202,0.880892,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2062,jung,ziel_20_prozent,0.200000,1160.510,3863.701,349.453,4213.154,842.631,4.358,7.964,854.952,305.558,0.736704,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2062,jung,stabil_22_prozent,0.220000,1160.510,3863.701,349.453,4213.154,926.894,4.358,7.964,939.215,221.295,0.809312,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2062,jung,obergrenze_24_prozent,0.240000,1160.510,3863.701,349.453,4213.154,1011.157,4.358,7.964,1023.478,137.032,0.881921,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2063,jung,ziel_20_prozent,0.200000,1186.467,3953.890,361.511,4315.402,863.080,3.863,8.163,875.106,311.361,0.737573,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2063,jung,stabil_22_prozent,0.220000,1186.467,3953.890,361.511,4315.402,949.388,3.863,8.163,961.414,225.053,0.810316,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2063,jung,obergrenze_24_prozent,0.240000,1186.467,3953.890,361.511,4315.402,1035.696,3.863,8.163,1047.722,138.745,0.883060,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2064,jung,ziel_20_prozent,0.200000,1213.004,4046.175,373.941,4420.116,884.023,3.452,8.367,895.842,317.163,0.738531,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2064,jung,stabil_22_prozent,0.220000,1213.004,4046.175,373.941,4420.116,972.425,3.452,8.367,984.244,228.760,0.811410,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2064,jung,obergrenze_24_prozent,0.240000,1213.004,4046.175,373.941,4420.116,1060.828,3.452,8.367,1072.646,140.358,0.884289,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2065,jung,ziel_20_prozent,0.200000,1240.135,4140.602,386.753,4527.355,905.471,3.109,8.576,917.156,322.978,0.739562,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2065,jung,stabil_22_prozent,0.220000,1240.135,4140.602,386.753,4527.355,996.018,3.109,8.576,1007.703,232.431,0.812576,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2065,jung,obergrenze_24_prozent,0.240000,1240.135,4140.602,386.753,4527.355,1086.565,3.109,8.576,1098.251,141.884,0.885590,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2066,jung,ziel_20_prozent,0.200000,1267.871,4237.222,399.959,4637.181,927.436,2.821,8.790,939.048,328.823,0.740649,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2066,jung,stabil_22_prozent,0.220000,1267.871,4237.222,399.959,4637.181,1020.180,2.821,8.790,1031.791,236.080,0.813798,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2066,jung,obergrenze_24_prozent,0.240000,1267.871,4237.222,399.959,4637.181,1112.923,2.821,8.790,1124.535,143.336,0.886947,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2067,jung,ziel_20_prozent,0.200000,1296.228,4336.084,413.569,4749.654,949.931,2.576,9.010,961.517,334.710,0.741781,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2067,jung,stabil_22_prozent,0.220000,1296.228,4336.084,413.569,4749.654,1044.924,2.576,9.010,1056.510,239.717,0.815065,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2067,jung,obergrenze_24_prozent,0.240000,1296.228,4336.084,413.569,4749.654,1139.917,2.576,9.010,1151.503,144.724,0.888350,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2068,jung,ziel_20_prozent,0.200000,1325.218,4437.242,427.596,4864.838,972.968,2.366,9.236,984.569,340.649,0.742949,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2068,jung,stabil_22_prozent,0.220000,1325.218,4437.242,427.596,4864.838,1070.264,2.366,9.236,1081.866,243.352,0.816368,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2068,jung,obergrenze_24_prozent,0.240000,1325.218,4437.242,427.596,4864.838,1167.561,2.366,9.236,1179.163,146.055,0.889788,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2069,jung,ziel_20_prozent,0.200000,1354.856,4540.748,442.050,4982.798,996.560,2.184,9.466,1008.210,346.646,0.744145,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2069,jung,stabil_22_prozent,0.220000,1354.856,4540.748,442.050,4982.798,1096.216,2.184,9.466,1107.865,246.990,0.817700,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2069,jung,obergrenze_24_prozent,0.240000,1354.856,4540.748,442.050,4982.798,1195.871,2.184,9.466,1207.521,147.334,0.891255,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2070,jung,ziel_20_prozent,0.200000,1385.156,4646.655,456.945,5103.600,1020.720,2.024,9.703,1032.447,352.709,0.745365,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2070,jung,stabil_22_prozent,0.220000,1385.156,4646.655,456.945,5103.600,1122.792,2.024,9.703,1134.519,250.637,0.819055,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2070,jung,obergrenze_24_prozent,0.240000,1385.156,4646.655,456.945,5103.600,1224.864,2.024,9.703,1236.591,148.565,0.892745,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2027,moderat,ziel_20_prozent,0.200000,434.047,1780.143,0.000,1780.143,356.029,99.585,3.356,458.969,-24.922,1.057418,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2027,moderat,stabil_22_prozent,0.220000,434.047,1780.143,0.000,1780.143,391.632,99.585,3.356,494.572,-60.525,1.139443,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2027,moderat,obergrenze_24_prozent,0.240000,434.047,1780.143,0.000,1780.143,427.234,99.585,3.356,530.175,-96.128,1.221468,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2028,moderat,ziel_20_prozent,0.200000,453.388,1812.295,0.000,1812.295,362.459,104.022,3.440,469.921,-16.533,1.036465,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2028,moderat,stabil_22_prozent,0.220000,453.388,1812.295,0.000,1812.295,398.705,104.022,3.440,506.167,-52.779,1.116409,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2028,moderat,obergrenze_24_prozent,0.240000,453.388,1812.295,0.000,1812.295,434.951,104.022,3.440,542.413,-89.024,1.196354,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2029,moderat,ziel_20_prozent,0.200000,473.472,1844.943,0.000,1844.943,368.989,108.630,3.526,481.144,-7.672,1.016204,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2029,moderat,stabil_22_prozent,0.220000,473.472,1844.943,0.000,1844.943,405.887,108.630,3.526,518.043,-44.571,1.094136,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2029,moderat,obergrenze_24_prozent,0.240000,473.472,1844.943,0.000,1844.943,442.786,108.630,3.526,554.942,-81.470,1.172069,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2030,moderat,ziel_20_prozent,0.200000,494.325,1878.090,19.441,1897.531,379.506,97.858,3.614,480.978,13.348,0.972998,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2030,moderat,stabil_22_prozent,0.220000,494.325,1878.090,19.441,1897.531,417.457,97.858,3.614,518.928,-24.603,1.049771,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2030,moderat,obergrenze_24_prozent,0.240000,494.325,1878.090,19.441,1897.531,455.407,97.858,3.614,556.879,-62.554,1.126543,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2031,moderat,ziel_20_prozent,0.200000,515.975,1911.741,39.579,1951.320,390.264,93.199,3.704,487.167,28.808,0.944168,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2031,moderat,stabil_22_prozent,0.220000,515.975,1911.741,39.579,1951.320,429.290,93.199,3.704,526.194,-10.218,1.019804,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2031,moderat,obergrenze_24_prozent,0.240000,515.975,1911.741,39.579,1951.320,468.317,93.199,3.704,565.220,-49.245,1.095440,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2032,moderat,ziel_20_prozent,0.200000,538.450,1945.901,60.429,2006.330,401.266,88.574,3.797,493.637,44.813,0.916774,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2032,moderat,stabil_22_prozent,0.220000,538.450,1945.901,60.429,2006.330,441.393,88.574,3.797,533.763,4.686,0.991296,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2032,moderat,obergrenze_24_prozent,0.240000,538.450,1945.901,60.429,2006.330,481.519,88.574,3.797,573.890,-35.440,1.065819,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2033,moderat,ziel_20_prozent,0.200000,561.779,1980.574,82.007,2062.582,412.516,83.992,3.892,500.400,61.379,0.890742,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2033,moderat,stabil_22_prozent,0.220000,561.779,1980.574,82.007,2062.582,453.768,83.992,3.892,541.652,20.127,0.964173,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2033,moderat,obergrenze_24_prozent,0.240000,561.779,1980.574,82.007,2062.582,495.020,83.992,3.892,582.903,-21.125,1.037603,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2034,moderat,ziel_20_prozent,0.200000,585.992,2015.765,104.331,2120.095,424.019,79.464,3.989,507.472,78.520,0.866006,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2034,moderat,stabil_22_prozent,0.220000,585.992,2015.765,104.331,2120.095,466.421,79.464,3.989,549.874,36.118,0.938365,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2034,moderat,obergrenze_24_prozent,0.240000,585.992,2015.765,104.331,2120.095,508.823,79.464,3.989,592.276,-6.284,1.010724,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2035,moderat,ziel_20_prozent,0.200000,611.120,2051.477,127.415,2178.892,435.778,75.003,4.089,514.870,96.250,0.842503,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2035,moderat,stabil_22_prozent,0.220000,611.120,2051.477,127.415,2178.892,479.356,75.003,4.089,558.448,52.672,0.913811,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2035,moderat,obergrenze_24_prozent,0.240000,611.120,2051.477,127.415,2178.892,522.934,75.003,4.089,602.026,9.094,0.985119,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2036,moderat,ziel_20_prozent,0.200000,637.196,2087.715,132.080,2219.795,443.959,70.625,4.191,518.774,118.422,0.814151,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2036,moderat,stabil_22_prozent,0.220000,637.196,2087.715,132.080,2219.795,488.355,70.625,4.191,563.170,74.026,0.883825,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2036,moderat,obergrenze_24_prozent,0.240000,637.196,2087.715,132.080,2219.795,532.751,70.625,4.191,607.566,29.630,0.953499,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2037,moderat,ziel_20_prozent,0.200000,664.254,2124.483,136.862,2261.345,452.269,66.341,4.296,522.906,141.348,0.787208,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2037,moderat,stabil_22_prozent,0.220000,664.254,2124.483,136.862,2261.345,497.496,66.341,4.296,568.133,96.121,0.855294,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2037,moderat,obergrenze_24_prozent,0.240000,664.254,2124.483,136.862,2261.345,542.723,66.341,4.296,613.359,50.894,0.923381,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2038,moderat,ziel_20_prozent,0.200000,692.327,2161.784,141.765,2303.549,460.710,62.165,4.403,527.278,165.049,0.761603,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2038,moderat,stabil_22_prozent,0.220000,692.327,2161.784,141.765,2303.549,506.781,62.165,4.403,573.349,118.978,0.828148,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2038,moderat,obergrenze_24_prozent,0.240000,692.327,2161.784,141.765,2303.549,552.852,62.165,4.403,619.420,72.907,0.894693,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2039,moderat,ziel_20_prozent,0.200000,711.765,2208.010,147.349,2355.359,471.072,58.108,4.513,533.693,178.072,0.749816,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2039,moderat,stabil_22_prozent,0.220000,711.765,2208.010,147.349,2355.359,518.179,58.108,4.513,580.800,130.965,0.815999,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2039,moderat,obergrenze_24_prozent,0.240000,711.765,2208.010,147.349,2355.359,565.286,58.108,4.513,627.907,83.858,0.882183,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2040,moderat,ziel_20_prozent,0.200000,728.190,2255.195,153.106,2408.301,481.660,54.176,4.626,540.462,187.728,0.742199,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2040,moderat,stabil_22_prozent,0.220000,728.190,2255.195,153.106,2408.301,529.826,54.176,4.626,588.628,139.562,0.808343,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2040,moderat,obergrenze_24_prozent,0.240000,728.190,2255.195,153.106,2408.301,577.992,54.176,4.626,636.794,91.396,0.874488,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2041,moderat,ziel_20_prozent,0.200000,744.994,2303.361,159.039,2462.399,492.480,50.374,4.742,547.595,197.399,0.735033,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2041,moderat,stabil_22_prozent,0.220000,744.994,2303.361,159.039,2462.399,541.728,50.374,4.742,596.843,148.151,0.801138,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2041,moderat,obergrenze_24_prozent,0.240000,744.994,2303.361,159.039,2462.399,590.976,50.374,4.742,646.091,98.903,0.867243,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2042,moderat,ziel_20_prozent,0.200000,762.186,2352.524,165.154,2517.678,503.536,46.704,4.860,555.099,207.087,0.728299,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2042,moderat,stabil_22_prozent,0.220000,762.186,2352.524,165.154,2517.678,553.889,46.704,4.860,605.453,156.733,0.794363,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2042,moderat,obergrenze_24_prozent,0.240000,762.186,2352.524,165.154,2517.678,604.243,46.704,4.860,655.806,106.380,0.860428,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2043,moderat,ziel_20_prozent,0.200000,779.775,2402.707,171.455,2574.161,514.832,43.166,4.982,562.980,216.795,0.721977,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2043,moderat,stabil_22_prozent,0.220000,779.775,2402.707,171.455,2574.161,566.316,43.166,4.982,614.463,165.312,0.788001,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2043,moderat,obergrenze_24_prozent,0.240000,779.775,2402.707,171.455,2574.161,617.799,43.166,4.982,665.946,113.828,0.854024,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2044,moderat,ziel_20_prozent,0.200000,797.769,2453.928,177.947,2631.875,526.375,39.759,5.106,571.241,226.529,0.716048,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2044,moderat,stabil_22_prozent,0.220000,797.769,2453.928,177.947,2631.875,579.013,39.759,5.106,623.878,173.891,0.782028,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2044,moderat,obergrenze_24_prozent,0.240000,797.769,2453.928,177.947,2631.875,631.650,39.759,5.106,676.516,121.254,0.848009,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2045,moderat,ziel_20_prozent,0.200000,816.179,2506.208,184.636,2690.845,538.169,36.483,5.234,579.886,236.293,0.710488,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2045,moderat,stabil_22_prozent,0.220000,816.179,2506.208,184.636,2690.845,591.986,36.483,5.234,633.703,182.476,0.776426,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2045,moderat,obergrenze_24_prozent,0.240000,816.179,2506.208,184.636,2690.845,645.803,36.483,5.234,687.519,128.659,0.842364,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2046,moderat,ziel_20_prozent,0.200000,835.013,2559.569,191.093,2750.662,550.132,33.337,5.365,588.834,246.179,0.705179,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2046,moderat,stabil_22_prozent,0.220000,835.013,2559.569,191.093,2750.662,605.146,33.337,5.365,643.847,191.166,0.771062,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
2046,moderat,obergrenze_24_prozent,0.240000,835.013,2559.569,191.093,2750.662,660.159,33.337,5.365,698.860,136.153,0.836945,"Maximal leistbares Rentenvolumen bei stabiler Beitragssatz-Obergrenze, Erwerbstaetigenbasis und abschmelzendem Bestandsschutz-Zuschuss."
