jahr,kategorie,zahlungspflichtiger,brutto_ausweis_mrd_euro,bereits_in_drv_finanzierung_mrd_euro,modellierter_netto_zusatzeffekt_mrd_euro,zahlungsstatus,doppelfrei_notiz
2061,pflegezeiten,Pflegeversicherung,13.700,13.700,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2061,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,13.827,13.827,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2061,versorgungsdienststellen,Versorgungsdienststellen,3.279,3.279,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2062,kindererziehungszeiten,Bund,47.741,47.741,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2062,pflegezeiten,Pflegeversicherung,14.043,14.043,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2062,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,14.173,14.173,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2062,versorgungsdienststellen,Versorgungsdienststellen,3.361,3.361,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2063,kindererziehungszeiten,Bund,48.935,48.935,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2063,pflegezeiten,Pflegeversicherung,14.394,14.394,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2063,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,14.527,14.527,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2063,versorgungsdienststellen,Versorgungsdienststellen,3.445,3.445,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2064,kindererziehungszeiten,Bund,50.158,50.158,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2064,pflegezeiten,Pflegeversicherung,14.753,14.753,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2064,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,14.890,14.890,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2064,versorgungsdienststellen,Versorgungsdienststellen,3.531,3.531,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2065,kindererziehungszeiten,Bund,51.412,51.412,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2065,pflegezeiten,Pflegeversicherung,15.122,15.122,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2065,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,15.263,15.263,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2065,versorgungsdienststellen,Versorgungsdienststellen,3.619,3.619,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2066,kindererziehungszeiten,Bund,52.697,52.697,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2066,pflegezeiten,Pflegeversicherung,15.500,15.500,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2066,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,15.644,15.644,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2066,versorgungsdienststellen,Versorgungsdienststellen,3.709,3.709,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2067,kindererziehungszeiten,Bund,54.015,54.015,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2067,pflegezeiten,Pflegeversicherung,15.888,15.888,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2067,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,16.035,16.035,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2067,versorgungsdienststellen,Versorgungsdienststellen,3.802,3.802,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2068,kindererziehungszeiten,Bund,55.365,55.365,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2068,pflegezeiten,Pflegeversicherung,16.285,16.285,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2068,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,16.436,16.436,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2068,versorgungsdienststellen,Versorgungsdienststellen,3.897,3.897,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2069,kindererziehungszeiten,Bund,56.749,56.749,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2069,pflegezeiten,Pflegeversicherung,16.692,16.692,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2069,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,16.847,16.847,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2069,versorgungsdienststellen,Versorgungsdienststellen,3.995,3.995,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
2070,kindererziehungszeiten,Bund,58.168,58.168,0.000,bestehende_Bundeszahlung,Bereits heute gesetzlich als Bundesbeitrag angelegt; Reform verlangt getrennten Ausweis statt pauschaler Vermengung.
2070,pflegezeiten,Pflegeversicherung,17.109,17.109,0.000,bestehende_Pflegeversicherungszahlung,Bereits heute Beitragszahlung der Pflegeversicherung; Reform verlangt getrennten Ausweis je Zahlungspflichtigem.
2070,ba_leistungsempfaenger,Bundesagentur fuer Arbeit,17.268,17.268,0.000,bestehende_BA_Beitraege,DRV-Rechnungsergebnis zeigt bereits Beitragszahlungen für BA-Leistungsempfänger.
2070,versorgungsdienststellen,Versorgungsdienststellen,4.094,4.094,0.000,bestehende_Erstattung,DRV-Rechnungsergebnis zeigt bereits Erstattungen von Versorgungsdienststellen.
