jahr,szenario,personen_20_66_mio,personen_67_plus_mio,ausgaben_mrd_euro,beitragsbasis_mrd_euro,fixer_beitragssatz,beitragseinnahmen_fix_mrd_euro,sonstige_einnahmen_mrd_euro,bundesmittel_basis_2025_mrd_euro,einnahmen_bei_fixem_beitrag_mrd_euro,finanzierungsluecke_mrd_euro,erforderliche_bundesmittel_mrd_euro,zusatz_bundesmittel_vs_2025_mrd_euro,aequivalenter_zusatzbeitragssatz_punkte,notiz
2047,alt,43.008,21.441,875.791,2499.987,0.186000,464.998,5.499,97.858,568.354,307.437,405.295,307.437,12.298,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2048,alt,42.751,21.456,896.587,2547.183,0.186000,473.776,5.636,97.858,577.270,319.317,417.175,319.317,12.536,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2049,alt,42.494,21.472,917.877,2595.176,0.186000,482.703,5.777,97.858,586.338,331.539,429.397,331.539,12.775,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2050,alt,42.237,21.488,939.671,2643.977,0.186000,491.780,5.921,97.858,595.559,344.112,441.970,344.112,13.015,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2051,alt,41.980,21.503,961.982,2693.596,0.186000,501.009,6.070,97.858,604.936,357.046,454.904,357.046,13.255,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2052,alt,41.723,21.519,984.823,2744.044,0.186000,510.392,6.221,97.858,614.471,370.352,468.210,370.352,13.497,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2053,alt,41.466,21.534,1008.206,2795.330,0.186000,519.931,6.377,97.858,624.166,384.039,481.897,384.039,13.739,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2054,alt,41.210,21.550,1032.143,2847.466,0.186000,529.629,6.536,97.858,634.023,398.120,495.978,398.120,13.982,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2055,alt,40.953,21.566,1056.648,2900.461,0.186000,539.486,6.700,97.858,644.043,412.604,510.462,412.604,14.225,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2056,alt,40.696,21.581,1081.734,2954.327,0.186000,549.505,6.867,97.858,654.230,427.504,525.362,427.504,14.470,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2057,alt,40.439,21.597,1107.415,3009.073,0.186000,559.688,7.039,97.858,664.584,442.830,540.688,442.830,14.717,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2058,alt,40.182,21.613,1133.705,3064.710,0.186000,570.036,7.215,97.858,675.109,458.596,556.454,458.596,14.964,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2059,alt,39.925,21.628,1160.619,3121.248,0.186000,580.552,7.395,97.858,685.805,474.813,572.671,474.813,15.212,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2060,alt,39.668,21.644,1188.171,3178.698,0.186000,591.238,7.580,97.858,696.676,491.495,589.353,491.495,15.462,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2061,alt,39.412,21.659,1216.376,3237.069,0.186000,602.095,7.770,97.858,707.722,508.654,606.512,508.654,15.713,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2062,alt,39.155,21.675,1245.250,3296.372,0.186000,613.125,7.964,97.858,718.947,526.303,624.161,526.303,15.966,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2063,alt,38.898,21.691,1274.809,3356.617,0.186000,624.331,8.163,97.858,730.352,544.458,642.316,544.458,16.220,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2064,alt,38.641,21.706,1305.069,3417.814,0.186000,635.713,8.367,97.858,741.938,563.131,660.989,563.131,16.476,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2065,alt,38.384,21.722,1336.047,3479.973,0.186000,647.275,8.576,97.858,753.709,582.338,680.196,582.338,16.734,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2066,alt,38.127,21.738,1367.759,3543.104,0.186000,659.017,8.790,97.858,765.666,602.093,699.951,602.093,16.993,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2067,alt,37.871,21.753,1400.224,3607.217,0.186000,670.942,9.010,97.858,777.811,622.413,720.271,622.413,17.255,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2068,alt,37.614,21.769,1433.458,3672.320,0.186000,683.052,9.236,97.858,790.145,643.313,741.171,643.313,17.518,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2069,alt,37.357,21.784,1467.480,3738.425,0.186000,695.347,9.466,97.858,802.671,664.808,762.666,664.808,17.783,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
2070,alt,37.100,21.800,1502.308,3805.539,0.186000,707.830,9.703,97.858,815.391,686.917,784.775,686.917,18.050,"Beitragssatz bleibt 18,6 %, Renteneintrittsalter bleibt bei 67, Bundesmittel bleiben nominal auf 2025-Niveau."
